uuid,geom,fid,fieldcheck,type,subtype,name,street,housenumber,comment,cid,aid,source,maptime,last_edit
187b0c42-21e7-4aec-b7e2-c45188458537,0101000020E864000091EB48FE91A31D41F8BCBA06EEDE5441,1,t,Grün,,Menzerpark,,,,1,1,osmimp,2023-03-11 13:07:19,2023-03-11 15:28:06
07ae2ab7-ad7f-40a8-a8cf-de457536465b,0101000020E864000055985AC0B7A31D4172C94C06FBDE5441,2,t,Spielplatz,,Spielplatz Menzerpark,Dilsberger Straße,2,,2,1,osmimp,2023-03-11 13:07:19,2023-03-11 15:27:55
885918a9-2b47-4fbd-b8f2-0c0556caac56,0101000020E86400007D8316B68F9F1D41B15362BEC6DE5441,3,t,Spielplatz,,Mühlgasse 18,Mühlgasse,18,,3,1,osmimp,2023-03-11 13:07:19,2023-03-11 16:17:46
f314ec36-0473-40ed-bf16-05fd0994771e,0101000020E8640000B52470C855A11D411A98406C19DF5441,4,t,Kita,,Städtischer Kindergarten Am Feuertor,Am Feuertor,1,,4,1,osmimp,2023-03-11 13:07:19,2023-03-11 15:24:08
07feccc8-e17f-431c-a1f6-0336b7a12aab,0101000020E8640000E1976E1F5AA31D4183DF3404D6DE5441,5,t,Bus,,Stadttor,,,,7,1,osmimp,2023-03-11 13:07:19,2023-03-11 15:58:29
be94625a-ce5b-431f-86eb-3e90e7b768e0,0101000020E8640000CC5C5F06E6A21D4161D6597AC8DE5441,6,t,Bus,,Stadttor,,,,8,1,osmimp,2023-03-11 13:07:19,2023-03-11 15:57:40
d7c27bac-bf52-4532-9105-2e185cab4b97,0101000020E8640000A393577A15A61D4188BCDA06EEDE5441,7,t,Bus,,Eisenbahnbrücke,,,,9,1,osmimp,2023-03-11 13:07:19,2023-03-11 15:31:09
a6f3436a-3631-40f4-9f68-8673ceb3fb7d,0101000020E8640000DAE25FCCC4A51D414620E7EDF3DE5441,8,t,Bus,,Eisenbahnbrücke,,,,10,1,osmimp,2023-03-11 13:07:19,2023-03-11 15:30:48
c5149ca9-ee69-4f3e-b770-d6a72ef2cd62,0101000020E86400003DB9F18E2A9E1D417E6F3EFE20DF5441,9,t,Bus,,Hanfmarkt,,,,11,1,osmimp,2023-03-11 13:07:19,2023-03-11 15:17:00
5c25be26-e664-4a25-a658-4f95b1837f3d,0101000020E8640000A8C70698EA9D1D4133DB07D521DF5441,10,t,Bus,,Hanfmarkt,,,,12,1,osmimp,2023-03-11 13:07:19,2023-03-11 15:16:55
