type,subtype,name,street,housenumber,comment,cid,osm_id,uuid,aid,source,importtime,last_edit,geom
Grün,,Menzerpark,,,,1,way/24688866,187b0c42-21e7-4aec-b7e2-c45188458537,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E864000091EB48FE91A31D41F8BCBA06EEDE5441
Spielplatz,,Menzerpark Dilsberger Straße,,,,2,way/25099700,07ae2ab7-ad7f-40a8-a8cf-de457536465b,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E864000055985AC0B7A31D4172C94C06FBDE5441
Spielplatz,,Mühlgasse 18,,,,3,way/59110627,885918a9-2b47-4fbd-b8f2-0c0556caac56,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E86400007D8316B68F9F1D41B15362BEC6DE5441
Kita,,Städtischer Kindergarten / Am Feuertor,Am Feuertor,1,,4,way/88108122,f314ec36-0473-40ed-bf16-05fd0994771e,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E8640000B52470C855A11D411A98406C19DF5441
Grün,,,,,,5,way/123450906,1b0c643b-8453-41e2-bcde-e1df6a0a7ae6,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E8640000C17652C6ECA01D41EAA3E6E6EDDE5441
Spielplatz,,,,,,6,way/123592659,126a2939-15d5-480a-94b2-7ed295138383,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E864000073C2A52B7EA61D41B29C5A89C9DE5441
Bus,,Stadttor,,,,7,node/268403543,07feccc8-e17f-431c-a1f6-0336b7a12aab,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E8640000E1976E1F5AA31D4183DF3404D6DE5441
Bus,,Stadttor,,,,8,node/268403544,be94625a-ce5b-431f-86eb-3e90e7b768e0,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E8640000CC5C5F06E6A21D4161D6597AC8DE5441
Bus,,Eisenbahnbrücke,,,,9,node/271220034,d7c27bac-bf52-4532-9105-2e185cab4b97,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E8640000A393577A15A61D4188BCDA06EEDE5441
Bus,,Eisenbahnbrücke,,,,10,node/278845973,a6f3436a-3631-40f4-9f68-8673ceb3fb7d,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E8640000DAE25FCCC4A51D414620E7EDF3DE5441
Bus,,Hanfmarkt,,,,11,node/280295463,c5149ca9-ee69-4f3e-b770-d6a72ef2cd62,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E86400003DB9F18E2A9E1D417E6F3EFE20DF5441
Bus,,Hanfmarkt,,,,12,node/280295465,5c25be26-e664-4a25-a658-4f95b1837f3d,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E8640000A8C70698EA9D1D4133DB07D521DF5441
Bus,,Altes Rathaus,,,,13,node/280295467,93174519-4116-46ad-9eca-bbb82535d5b9,1,osm,2023-03-11 13:04:40,2023-03-11 13:04:40,0101000020E86400002BABA7241EA11D41DF606B49F5DE5441
