Budni;Budnikowsky
dm;dm
DroNova;DroNova
Müller;Müller
Rossmann;Rossmann
akzenta;akzenta
AEZ;AEZ
ALDI Nord;ALDI Nord
ALDI Süd;ALDI Süd
ALECO;ALECO
Alnatura;Alnatura
Basic;Basic
beki frischmarkt;beki frischmarkt
BIO COMPANY;BIO COMPANY
bioladen*;bioladen*
Bonus-Markt;Bonus-Markt
Calle;Calle
CAP;CAP
CITTI;CITTI
Combi;Combi
denn's;denn's Biomarkt
diska;diska
ebl-naturkost;ebl-naturkost
EDEKA;EDEKA
Erdi;Erdi
Erdkorn;Erdkorn
Elli-Markt;Elli-Markt
famila;famila
Feneberg;Feneberg
Fleggaard;Fleggaard
Füllhorn;Füllhorn
GLOBUS;GLOBUS
go asia;go asia
HIT;HIT
Ihre Kette;Ihre Kette
ik Ihr Kaufmann;ik Ihr Kaufmann
inkoop;inkoop
K+K;K+K
Kaufland;Kaufland
Konsum;Konsum
Landmann's;Landmann's
Landmarkt;Landmarkt
Lidl;Lidl
LPG BioMarkt;LPG BioMarkt
MARKANT;MARKANT
Marktkauf;Marktkauf
MERE;MERE
Mix Markt;Mix Markt
multi;multi
nah&frisch;nah&frisch
nah & gut;nah & gut
nahkauf;nahkauf
NATURKIND;NATURKIND
Naturgut;Naturgut
Netto Marken-Discount;Netto Marken-Discount
Netto Dansk;Netto Dansk
NORMA;NORMA
NP;NP
PENNY;PENNY
Prima Markt;Prima Markt
pro bio.MARKT;pro bio.MARKT
real;mein real
REWE;REWE
SuperBioMarkt;SuperBioMarkt
tegut…;tegut…
TEMMA;TEMMA
V-MARKT;V-MARKT
Veganz;Veganz
VollCorner;VollCorner
Vorwerk Podemus;Vorwerk Podemus
WASGAU;WASGAU
WEZ;WEZ
